danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.741,0.787,1,-3.653,1,0.0373,0.0114,0.0,0.261,0.296,122.978,audio_features,3LkWdvgrJtFuM0ZoXKPlpH,spotify:track:3LkWdvgrJtFuM0ZoXKPlpH,https://api.spotify.com/v1/tracks/3LkWdvgrJtFuM0ZoXKPlpH,https://api.spotify.com/v1/audio-analysis/3LkWdvgrJtFuM0ZoXKPlpH,183411,4
0.635,0.946,8,-0.547,1,0.118,0.132,0.0,0.297,0.708,128.064,audio_features,6OiZpa36iNzEmNiVszAkQv,spotify:track:6OiZpa36iNzEmNiVszAkQv,https://api.spotify.com/v1/tracks/6OiZpa36iNzEmNiVszAkQv,https://api.spotify.com/v1/audio-analysis/6OiZpa36iNzEmNiVszAkQv,209062,4
0.362,0.432,2,-9.359,0,0.112,0.0882,0.0,0.264,0.256,81.29,audio_features,1r6qzxz77Tvbrvqd1Q1MIN,spotify:track:1r6qzxz77Tvbrvqd1Q1MIN,https://api.spotify.com/v1/tracks/1r6qzxz77Tvbrvqd1Q1MIN,https://api.spotify.com/v1/audio-analysis/1r6qzxz77Tvbrvqd1Q1MIN,221169,4
0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,audio_features,6uTPdRrEDeH8Fyg5L5qmeU,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU,125902,4
0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,audio_features,46lFttIf5hnUZMGvjK0Wxo,spotify:track:46lFttIf5hnUZMGvjK0Wxo,https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo,https://api.spotify.com/v1/audio-analysis/46lFttIf5hnUZMGvjK0Wxo,227074,4
0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,audio_features,3nEHrvNNtgLv9rneTAYVr4,spotify:track:3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/tracks/3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/audio-analysis/3nEHrvNNtgLv9rneTAYVr4,214071,4
0.579,0.725,4,-4.1,1,0.0423,0.0702,0.000337,0.12,0.219,127.986,audio_features,6R1ArLLvqPvS3AHg9YgmrQ,spotify:track:6R1ArLLvqPvS3AHg9YgmrQ,https://api.spotify.com/v1/tracks/6R1ArLLvqPvS3AHg9YgmrQ,https://api.spotify.com/v1/audio-analysis/6R1ArLLvqPvS3AHg9YgmrQ,239520,4
0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,audio_features,60wwxj6Dd9NJlirf84wr2c,spotify:track:60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/audio-analysis/60wwxj6Dd9NJlirf84wr2c,271427,4
0.308,0.769,11,-7.256,0,0.065,0.0331,0.0,0.214,0.488,81.853,audio_features,2stPxcgjdSImK7Gizl8ZUN,spotify:track:2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/tracks/2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/audio-analysis/2stPxcgjdSImK7Gizl8ZUN,254880,4
0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,audio_features,67awxiNHNyjMXhVgsHuIrs,spotify:track:67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,213733,4
0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,7EQGXaVSyEDsCWKmUcfpLk,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/tracks/7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/audio-analysis/7EQGXaVSyEDsCWKmUcfpLk,211920,4
